"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 26 19:00:44 CST 2023","Mon Jun 26 19:00:51 CST 2023","6772","testcases","test_login","Testlogin","","","test_login","测试登录成功"
"broken","Mon Jun 26 19:01:02 CST 2023","Mon Jun 26 19:01:19 CST 2023","16479","testcases","test_login","Testlogin","","","test_login_fail","用户名为空，密码正确输入，测试是否登录失败"
